Index,avg_price_per_kg
649,9.303898
650,7.957168
651,5.654736
652,7.091864
653,5.871953
654,8.614299
655,4.4541354
656,7.5334096
657,4.859045
658,4.3870454
659,5.188598
660,9.162937
661,6.076127
662,6.5992513
663,6.031667
664,1.5818983
665,10.997717
666,8.124402
667,7.3956695
668,4.7231135
669,11.486071
670,7.5394387
671,9.852614
672,5.391167
673,5.2346153
674,7.0773644
675,10.515555
676,10.358036
677,6.551457
678,6.236143
679,7.3224726
680,1.9600035
681,3.394116
682,10.093222
683,6.137551
684,7.104382
685,7.4408565
