Weight_Kg,Low_Price,High_Price,Sales_Total,Total_Qty_Sold,Total_Kg_Sold,Stock_On_Hand,avg_price_per_kg,Province_EASTERN CAPE,Province_NATAL,Province_ORANGE FREE STATE,Province_TRANSVAAL,Province_W.CAPE-BERGRIVER ETC,Province_WEST COAST,Container_DT063,Container_EC120,Container_EF120,Container_EG140,Container_IA400,Container_JE090,Container_JG110,Container_M4183,Container_M6125,Container_M9125,Size_Grade_1M,Size_Grade_1S,Size_Grade_1U,Size_Grade_1X,Size_Grade_2L,Size_Grade_2M,Size_Grade_2S,Size_Grade_2U,Size_Grade_2X,Season_Spring,Season_Summer,Season_Winter
9.0,65.0,75.0,845.0,12,108.0,50,7.82,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
18.3,160.0,180.0,26100.0,161,2946.3,0,8.86,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18.3,110.0,200.0,39330.0,321,5874.3,430,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
11.0,60.0,70.0,34000.0,560,6160.0,0,5.52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
18.3,200.0,220.0,3500.0,17,311.1,2,11.25,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
12.5,100.0,100.0,7000.0,70,875.0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
400.0,1000.0,1000.0,7000.0,7,2800.0,5,2.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12.0,80.0,128.0,97300.0,1028,12336.0,1258,7.89,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
400.0,1500.0,1500.0,1500.0,1,400.0,6,3.75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18.3,80.0,150.0,49550.0,428,7832.4,1338,6.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
9.0,50.0,50.0,700.0,14,126.0,61,5.56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9.0,50.0,60.0,2030.0,40,360.0,240,5.64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.3,140.0,180.0,15160.0,39,713.7,736,21.24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
400.0,500.0,500.0,1500.0,3,1200.0,0,1.25,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9.0,50.0,60.0,9270.0,183,1647.0,800,5.63,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9.0,10.0,10.0,10.0,1,9.0,0,1.11,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
18.3,190.0,230.0,78100.0,392,7173.6,106,10.89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12.0,112.0,120.0,2928.0,26,312.0,0,9.38,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
9.0,40.0,40.0,24000.0,600,5400.0,0,4.44,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
400.0,1000.0,1000.0,23000.0,23,9200.0,18,2.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
9.0,55.0,55.0,330.0,6,54.0,550,6.11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.3,100.0,170.0,66900.0,418,7649.4,0,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12.0,88.0,96.0,57344.0,640,7680.0,384,7.47,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18.3,130.0,130.0,10010.0,77,1409.1,0,7.1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12.0,50.0,50.0,1450.0,29,348.0,0,4.17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
9.0,50.0,50.0,200.0,4,36.0,194,5.56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12.0,60.0,112.0,42548.0,487,5844.0,2280,7.28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11.0,65.0,70.0,345.0,5,55.0,9,6.27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
9.0,60.0,60.0,60.0,1,9.0,94,6.67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
12.0,72.0,90.0,3950.0,51,612.0,0,6.45,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
400.0,1900.0,1900.0,15200.0,8,3200.0,39,4.75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
12.0,128.0,168.0,47176.0,357,4284.0,1052,11.01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
18.3,50.0,180.0,2860.0,22,402.6,335,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18.3,120.0,150.0,8930.0,65,1189.5,1118,7.51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
9.0,55.0,55.0,1540.0,28,252.0,1181,6.11,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12.0,50.0,64.0,2194.0,42,504.0,0,4.35,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
12.0,60.0,108.0,11012.0,138,1656.0,550,6.65,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
18.3,140.0,140.0,6860.0,49,896.7,102,7.65,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,20.0,30.0,6650.0,330,2970.0,1358,2.24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12.0,108.0,120.0,157704.0,1382,16584.0,26,9.51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
12.0,120.0,120.0,2400.0,20,240.0,196,10.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
18.3,180.0,200.0,2920.0,15,274.5,4,10.64,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9.0,30.0,30.0,150.0,5,45.0,50,3.33,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
18.3,140.0,170.0,74860.0,446,8161.8,386,9.17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9.0,50.0,60.0,350.0,6,54.0,225,6.48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12.0,110.0,110.0,1320.0,12,144.0,286,9.17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
18.3,180.0,180.0,3240.0,18,329.4,31,9.84,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
400.0,2000.0,2000.0,2000.0,1,400.0,22,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9.0,15.0,15.0,30.0,2,18.0,1,1.67,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18.3,130.0,200.0,4070.0,25,457.5,247,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
18.3,80.0,160.0,15738.0,131,2397.3,671,6.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9.0,45.0,45.0,900.0,20,180.0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12.0,102.0,104.0,1558.0,15,180.0,350,8.66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9.0,50.0,60.0,210.0,4,36.0,87,5.83,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
18.3,150.0,200.0,23810.0,140,2562.0,564,9.29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18.3,170.0,180.0,1220.0,7,128.1,358,9.52,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
9.0,40.0,50.0,19700.0,488,4392.0,155,4.49,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18.3,120.0,160.0,43810.0,322,5892.6,18,7.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12.0,72.0,96.0,20784.0,254,3048.0,1406,6.82,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18.3,100.0,100.0,35600.0,356,6514.8,0,5.46,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
12.0,112.0,128.0,13616.0,114,1368.0,14,9.95,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
12.0,72.0,84.0,684.0,9,108.0,31,6.33,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
12.0,72.0,120.0,63616.0,687,8244.0,3482,7.72,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
9.0,40.0,50.0,10975.0,268,2412.0,79,4.55,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
18.3,50.0,180.0,31520.0,207,3788.1,372,8.32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11.0,60.0,70.0,38750.0,640,7040.0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
18.3,200.0,200.0,2200.0,11,201.3,266,10.93,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12.0,120.0,120.0,2040.0,17,204.0,175,10.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
18.3,220.0,220.0,660.0,3,54.9,254,12.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
400.0,700.0,700.0,5600.0,8,3200.0,16,1.75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9.0,40.0,40.0,400.0,10,90.0,0,4.44,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
400.0,2000.0,2000.0,12000.0,6,2400.0,0,5.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
12.0,128.0,128.0,4608.0,36,432.0,220,10.67,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
12.0,50.0,70.0,3680.0,62,744.0,432,4.95,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
12.0,84.0,84.0,1932.0,23,276.0,0,7.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
9.0,40.0,40.0,24000.0,600,5400.0,0,4.44,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
9.0,40.0,60.0,8140.0,150,1350.0,432,6.03,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
9.0,15.0,60.0,20675.0,569,5121.0,2025,4.04,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9.0,55.0,70.0,5045.0,78,702.0,0,7.19,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
18.3,110.0,160.0,5740.0,48,878.4,246,6.53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9.0,80.0,80.0,32000.0,400,3600.0,0,8.89,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
12.0,120.0,120.0,240.0,2,24.0,128,10.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
9.0,38.0,50.0,3485.0,89,801.0,241,4.35,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12.0,80.0,120.0,32262.0,322,3864.0,0,8.35,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
400.0,1400.0,2000.0,114620.0,59,23600.0,44,4.86,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
9.0,40.0,50.0,30060.0,751,6759.0,0,4.45,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
18.3,140.0,140.0,6580.0,47,860.1,349,7.65,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,40.0,50.0,1410.0,35,315.0,57,4.48,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
12.0,72.0,120.0,118564.0,1313,15756.0,3482,7.53,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3.0,18.0,18.0,3600.0,200,600.0,6400,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12.0,40.0,120.0,3424.0,60,720.0,0,4.76,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
9.0,70.0,70.0,2100.0,30,270.0,11,7.78,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
9.0,40.0,40.0,7200.0,180,1620.0,0,4.44,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9.0,50.0,50.0,100.0,2,18.0,90,5.56,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12.0,60.0,64.0,440.0,7,84.0,27,5.24,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3.0,5.0,5.0,5.0,1,3.0,1,1.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
9.0,50.0,60.0,505.0,9,81.0,105,6.23,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
11.0,60.0,60.0,3600.0,60,660.0,580,5.45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
9.0,20.0,20.0,20.0,1,9.0,0,2.22,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
18.3,160.0,160.0,2560.0,16,292.8,569,8.74,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0,60.0,112.0,23778.0,288,3456.0,1623,6.88,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
12.0,92.0,104.0,6248.0,64,768.0,64,8.14,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18.3,140.0,160.0,40070.0,265,4849.5,404,8.26,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12.0,40.0,64.0,4918.0,107,1284.0,313,3.83,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18.3,100.0,100.0,400.0,4,73.2,0,5.46,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0,72.0,78.0,3576.0,47,564.0,100,6.34,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
18.3,160.0,180.0,3390.0,20,366.0,2,9.26,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
400.0,500.0,500.0,2500.0,5,2000.0,6,1.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18.3,200.0,200.0,1600.0,8,146.4,205,10.93,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9.0,20.0,20.0,20.0,1,9.0,0,2.22,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
18.3,150.0,150.0,450.0,3,54.9,53,8.2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18.3,140.0,160.0,24660.0,169,3092.7,2290,7.97,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0,108.0,108.0,648.0,6,72.0,190,9.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
18.3,180.0,200.0,83885.0,448,8198.4,0,10.23,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
11.0,70.0,80.0,4165.0,59,649.0,308,6.42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
18.3,100.0,140.0,1080.0,9,164.7,350,6.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12.0,50.0,104.0,84954.0,985,11820.0,1195,7.19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
400.0,500.0,500.0,500.0,1,400.0,0,1.25,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
9.0,40.0,50.0,500.0,12,108.0,33,4.63,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
400.0,600.0,700.0,5500.0,9,3600.0,5,1.53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
400.0,2000.0,2000.0,2000.0,1,400.0,11,5.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
9.0,55.0,60.0,8870.0,161,1449.0,45,6.12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
